V_exit (V),V_ent (V),Current (A),Current_MA,Current_minus_MA
0.827,0.7919999999999999,0.0,0.0,0.0
0.828,0.7929999999999999,0.0,0.0,0.0
0.829,0.7939999999999999,0.0,0.0,0.0
0.83,0.7949999999999999,0.0,0.0,0.0
0.831,0.7959999999999999,0.0,0.0,0.0
0.832,0.7969999999999999,0.0,0.0,0.0
0.833,0.7979999999999999,0.0,0.0,0.0
0.834,0.7989999999999999,0.0,0.0,0.0
0.835,0.7999999999999999,0.0,0.0,0.0
0.836,0.8009999999999999,0.0,0.0,0.0
0.837,0.8019999999999999,0.0,0.0,0.0
0.838,0.8029999999999999,0.0,0.0,0.0
0.839,0.8039999999999999,0.0,0.0,0.0
0.84,0.8049999999999999,0.0,0.0,0.0
0.841,0.8059999999999999,0.0,0.0,0.0
0.842,0.8069999999999999,0.0,0.0,0.0
0.843,0.8079999999999999,0.0,0.0,0.0
0.844,0.8089999999999999,0.0,0.0,0.0
0.845,0.8099999999999999,0.0,0.0,0.0
0.846,0.8109999999999999,0.0,0.0,0.0
0.847,0.8119999999999999,0.0,0.0,0.0
0.848,0.813,0.0,0.0,0.0
0.849,0.814,0.0,0.0,0.0
0.85,0.815,0.0,0.0,0.0
0.851,0.816,0.0,0.0,0.0
0.852,0.817,0.0,0.0,0.0
0.853,0.818,0.0,0.0,0.0
0.854,0.819,0.0,0.0,0.0
0.855,0.82,0.0,0.0,0.0
0.856,0.821,0.0,0.0,0.0
0.857,0.822,0.0,0.0,0.0
0.858,0.823,0.0,0.0,0.0
0.859,0.824,0.0,0.0,0.0
0.86,0.825,0.0,0.0,0.0
0.861,0.826,0.0,0.0,0.0
0.862,0.827,0.0,0.0,0.0
0.863,0.828,0.0,0.0,0.0
0.864,0.829,0.0,0.0,0.0
0.865,0.83,0.0,0.0,0.0
0.866,0.831,0.0,0.0,0.0
0.867,0.832,0.0,0.0,0.0
0.868,0.833,0.0,0.0,0.0
0.869,0.834,0.0,0.0,0.0
0.87,0.835,0.0,0.0,0.0
0.871,0.836,0.0,0.0,0.0
0.872,0.837,0.0,0.0,0.0
0.873,0.838,0.0,0.0,0.0
0.874,0.839,0.0,0.0,0.0
0.875,0.84,0.0,0.0,0.0
0.876,0.841,0.0,0.0,0.0
0.877,0.842,0.0,0.0,0.0
0.878,0.843,0.0,0.0,0.0
0.879,0.844,0.0,0.0,0.0
0.88,0.845,0.0,0.0,0.0
0.881,0.846,0.0,0.0,0.0
0.882,0.847,0.0,0.0,0.0
