spi_rack.module2.dac9.voltage,spi_rack.module2.dac5.voltage,agilent_left.volt,agilent_right.volt
1.2,0.8734693877551021,0.000593647591,-0.000167190735
1.2,0.8653061224489795,0.000593652383,-0.000166832904
1.2,0.8571428571428572,0.000592520697,-0.000167400912
1.2,0.8489795918367347,0.000593709499,-0.000167459582
1.2,0.8408163265306122,0.000592960855,-0.00016730056
1.2,0.8326530612244898,0.000592882273,-0.000168326974
1.2,0.8244897959183674,0.00059322842,-0.000168270649
1.2,0.8163265306122449,0.000593623059,-0.000168414642
1.2,0.8081632653061225,0.000593180408,-0.000168262268
1.2,0.8,0.00059230421,-0.000168570452
1.1918367346938774,1.2,0.000593807249,-0.000168911295
1.1918367346938774,1.1918367346938774,0.000592819885,-0.000168552405
1.1918367346938774,1.183673469387755,0.000592886298,-0.000168782138
1.1918367346938774,1.1755102040816325,0.000593475764,-0.000168161915
1.1918367346938774,1.1673469387755102,0.000594242329,-0.000167539959
1.1918367346938774,1.1591836734693877,0.000593256212,-0.000167559291
1.1918367346938774,1.1510204081632653,0.00059316268,-0.000168254111
1.1918367346938774,1.1428571428571428,0.00059360006,-0.000167830738
1.1918367346938774,1.1346938775510205,0.000592971206,-0.000167679231
1.1918367346938774,1.126530612244898,0.000593212225,-0.000167595193
1.1918367346938774,1.1183673469387754,0.000593531347,-0.000167772069
1.1918367346938774,1.110204081632653,0.000594493985,-0.000167238872
1.1918367346938774,1.1020408163265305,0.000594382053,-0.000167014501
1.1918367346938774,1.0938775510204082,0.000594072035,-0.000167905304
1.1918367346938774,1.0857142857142856,0.000593679888,-0.000167144525
1.1918367346938774,1.0775510204081633,0.00059356671,-0.000167449049
1.1918367346938774,1.0693877551020408,0.000593728667,-0.000168330828
1.1918367346938774,1.0612244897959184,0.00059275012,-0.000166992793
1.1918367346938774,1.0530612244897959,0.00059343561,-0.00016830912
1.1918367346938774,1.0448979591836736,0.000592900194,-0.000167912625
1.1918367346938774,1.036734693877551,0.000592505555,-0.000166854612
1.1918367346938774,1.0285714285714285,0.000593604851,-0.000167627434
1.1918367346938774,1.0204081632653061,0.000591960556,-0.000167213085
1.1918367346938774,1.0122448979591836,0.000592134876,-0.000166700311
1.1918367346938774,1.0040816326530613,0.000592417389,-0.000166856122
1.1918367346938774,0.9959183673469387,0.000592602825,-0.000168006523
1.1918367346938774,0.9877551020408163,0.000592115422,-0.000168145571
1.1918367346938774,0.9795918367346939,0.000591281391,-0.000168071647
1.1918367346938774,0.9714285714285714,0.000590932271,-0.000168666083
1.1918367346938774,0.963265306122449,0.0005904234,-0.000167354926
1.1918367346938774,0.9551020408163265,0.000591629837,-0.000167866415
1.1918367346938774,0.9469387755102041,0.000591226094,-0.000168180605
1.1918367346938774,0.9387755102040816,0.000591745795,-0.000167902928
1.1918367346938774,0.9306122448979592,0.00059169529,-0.000167503222
1.1918367346938774,0.9224489795918367,0.000591788248,-0.000167205346
1.1918367346938774,0.9142857142857143,0.000591077553,-0.000167331934
1.1918367346938774,0.9061224489795918,0.000591187186,-0.000167636457
1.1918367346938774,0.8979591836734694,0.000590742236,-0.000167940339
1.1918367346938774,0.889795918367347,0.00059140396,-0.000167854149
1.1918367346938774,0.8816326530612244,0.000592256198,-0.000167545547
1.1918367346938774,0.8734693877551021,0.000591628591,-0.000168134395
1.1918367346938774,0.8653061224489795,0.000591720782,-0.000167248762
1.1918367346938774,0.8571428571428572,0.000591627058,-0.000167703926
1.1918367346938774,0.8489795918367347,0.000592071242,-0.000167875215
1.1918367346938774,0.8408163265306122,0.000591335727,-0.000166391485
1.1918367346938774,0.8326530612244898,0.000592000517,-0.000167900583
1.1918367346938774,0.8244897959183674,0.00059254523,-0.000168408412
1.1918367346938774,0.8163265306122449,0.000591435297,-0.000167078341
1.1918367346938774,0.8081632653061225,0.000590788235,-0.000167879518
1.1918367346938774,0.8,0.000590379414,-0.000167467545
1.183673469387755,1.2,0.000590356414,-0.000167611956
1.183673469387755,1.1918367346938774,0.000588635069,-0.00016739876
1.183673469387755,1.183673469387755,0.000589145472,-0.00016754985
1.183673469387755,1.1755102040816325,0.000589173743,-0.000167817187
1.183673469387755,1.1673469387755102,0.000588851842,-0.000167190735
1.183673469387755,1.1591836734693877,0.000588963775,-0.000166619067
1.183673469387755,1.1510204081632653,0.000588288921,-0.000166311974
1.183673469387755,1.1428571428571428,0.000588601432,-0.000167468187
1.183673469387755,1.1346938775510205,0.000587802091,-0.000167178917
1.183673469387755,1.126530612244898,0.000588915283,-0.000166770381
1.183673469387755,1.1183673469387754,0.000589009007,-0.000167896923
1.183673469387755,1.110204081632653,0.000590259144,-0.000168587215
1.183673469387755,1.1020408163265305,0.000589399141,-0.000167738961
1.183673469387755,1.0938775510204082,0.000589255105,-0.000168229384
1.183673469387755,1.0857142857142856,0.000588527448,-0.000167977525
1.183673469387755,1.0775510204081633,0.000588938282,-0.000169238812
1.183673469387755,1.0693877551020408,0.000589416296,-0.000168616662
1.183673469387755,1.0612244897959184,0.000589807676,-0.000168627613
1.183673469387755,1.0530612244897959,0.000588143446,-0.000169227861
1.183673469387755,1.0448979591836736,0.000588033526,-0.000168454397
1.183673469387755,1.036734693877551,0.000588147951,-0.000167263598
1.183673469387755,1.0285714285714285,0.000587277311,-0.000167387167
1.183673469387755,1.0204081632653061,0.000588483462,-0.000167254768
1.183673469387755,1.0122448979591836,0.000587217897,-0.000167391246
1.183673469387755,1.0040816326530613,0.000587363945,-0.00016738158
1.183673469387755,0.9959183673469387,0.000587794713,-0.000167530936
1.183673469387755,0.9877551020408163,0.000588744222,-0.000166862127
1.183673469387755,0.9795918367346939,0.000588486527,-0.000166881266
1.183673469387755,0.9714285714285714,0.000588509241,-0.000166947675
1.183673469387755,0.963265306122449,0.000587200742,-0.000168070138
1.183673469387755,0.9551020408163265,0.000587376594,-0.000167824284
1.183673469387755,0.9469387755102041,0.000588452698,-0.000167477211
1.183673469387755,0.9387755102040816,0.00058828135,-0.000169641985
1.183673469387755,0.9306122448979592,0.000588471099,-0.000169356151
1.183673469387755,0.9224489795918367,0.000587573914,-0.000168366729
1.183673469387755,0.9142857142857143,0.000588613315,-0.000166996229
1.183673469387755,0.9061224489795918,0.000589692964,-0.000168047145
1.183673469387755,0.8979591836734694,0.00058893349,-0.000168149874
1.183673469387755,0.889795918367347,0.000588296013,-0.000169179082
1.183673469387755,0.8816326530612244,0.000588898321,-0.00016749224
1.183673469387755,0.8734693877551021,0.00059041401,-0.000168008675
1.183673469387755,0.8653061224489795,0.000589945387,-0.000167874348
1.183673469387755,0.8571428571428572,0.000589201535,-0.000168411206
1.183673469387755,0.8489795918367347,0.000590267001,-0.000168346082
1.183673469387755,0.8408163265306122,0.000589032007,-0.00016884662
1.183673469387755,0.8326530612244898,0.000589916062,-0.00016859839
1.183673469387755,0.8244897959183674,0.000587532993,-0.000168051448
1.183673469387755,0.8163265306122449,0.000588893049,-0.000168350384
1.183673469387755,0.8081632653061225,0.000589246001,-0.000168441937
1.183673469387755,0.8,0.000589398374,-0.000167686746
1.1755102040816325,1.2,0.00058696806,-0.000166061817
1.1755102040816325,1.1918367346938774,0.00058704233,-0.000166095342
1.1755102040816325,1.183673469387755,0.000588681834,-0.000165447824
1.1755102040816325,1.1755102040816325,0.000588365205,-0.000166024213
1.1755102040816325,1.1673469387755102,0.00058790214,-0.000166435319
1.1755102040816325,1.1591836734693877,0.00058741349,-0.000167662886
1.1755102040816325,1.1510204081632653,0.0005870085,-0.000166221706
1.1755102040816325,1.1428571428571428,0.000587142093,-0.000166867297
1.1755102040816325,1.1346938775510205,0.000588186859,-0.000165832083
1.1755102040816325,1.126530612244898,0.0005881399,-0.000167092085
1.1755102040816325,1.1183673469387754,0.000587501656,-0.000166549222
